starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	2
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	2
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	2
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	2
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	2
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	2
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	2
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	2
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	2
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	2
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	2
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	2
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	2
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	2
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	2
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	2
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	2
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	2
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	2
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	2
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	2
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	2
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	2
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	2
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	2
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	2
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	2
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	2
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	2
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	2
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	2
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	2
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	2
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	2
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	2
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	2
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	2
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	2
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:10 2023	1702470910	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:07 2023	1702470907	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:08 2023	1702470908	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:11 2023	1702470911	0	3	3	3
Wed Dec 13 09:35:02 2023	1702470902	0	3	3	3
Wed Dec 13 09:35:05 2023	1702470905	0	3	3	3
Wed Dec 13 09:35:06 2023	1702470906	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:03 2023	1702470903	0	3	3	3
Wed Dec 13 09:35:04 2023	1702470904	0	3	3	3
Wed Dec 13 09:35:09 2023	1702470909	0	3	3	3
